,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,tempo_bpm,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,is_ai
The Sky's the Limit,-71.7062,68.2485,-6.561974,8.707649,5.3664837,-3.5782924,-1.1182715,4.159373,-7.2441926,5.7815013,-1.6222156,0.39597282,-2.2072837,4.8618064,-3.6424594,0.76814246,-4.075925,2.736233,-1.2064978,4.4537797,123,0.3617099,0.25320685,0.43723294,0.22505176,0.38466957,0.34549248,0.2884173,0.42382336,0.26479322,0.37998912,0.2209888,0.2720728,0
The Sound of Silence - CYRIL Remix,-143.71779,102.80481,44.79707,16.775723,17.226807,18.25072,2.006939,-0.42183343,-7.7074075,3.3201363,-13.048448,3.3682983,-5.9797225,-4.306878,-2.8721194,2.603059,2.154792,3.1445553,-2.8395455,-0.018922977,129,0.20968781,0.3934738,0.23300636,0.21783148,0.3436707,0.2921002,0.42123654,0.3529263,0.5242915,0.5515627,0.24801922,0.206661,0
The Streak,-239.99107,90.78128,-40.08899,21.561178,-6.1912813,-9.953881,-9.687327,-3.2143426,-14.63973,9.657519,-4.698357,-4.505959,-1.3887304,-2.0864637,-2.3799343,1.1314926,-5.090984,3.4938269,-1.7236277,0.9985277,89,0.3175938,0.34716985,0.34304264,0.3459623,0.36292514,0.4117867,0.45280588,0.47844458,0.44312307,0.38852444,0.3380336,0.30755064,0
The Stripper,-118.74896,117.96118,-36.760704,14.232331,-7.0775576,1.3190966,-3.4986126,12.804382,-5.230169,2.119167,-7.831197,-0.13463259,-7.21488,-3.5821514,-2.9482207,2.1550534,3.511978,6.762418,-5.4224296,0.38088697,95,0.24534142,0.5408408,0.41146743,0.4965432,0.38426292,0.19955347,0.500412,0.20867558,0.48739576,0.66444653,0.24398898,0.27888614,0
The Stroke - Remastered 2010,-95.21553,82.86789,-32.016163,29.71305,-0.548025,7.7064614,-5.6608095,2.3608274,-2.9661982,2.4730694,-3.3559685,0.39210987,-7.870235,-1.3838747,-7.889628,-2.4940746,-3.9273481,1.6179258,-1.1939416,-1.0867225,92,0.48955724,0.47450516,0.5152506,0.40751308,0.40477192,0.44334668,0.39324158,0.42055458,0.35991275,0.40958005,0.33202836,0.4321989,0
The Tears I Cried,-63.82701,81.50591,18.853607,41.33918,9.132497,16.308317,-0.35451353,11.168186,-4.0131016,-1.7038094,-4.5132284,0.65969026,-9.629593,-6.41638,-4.236681,0.006579656,-8.550375,-1.3942595,-8.150817,-8.125165,129,0.21381012,0.36798605,0.38282838,0.28363594,0.4578666,0.30104616,0.28055292,0.14934981,0.28451058,0.5047996,0.24260122,0.23819426,0
The Theme from _A Summer Place_,-215.9058,95.32802,-9.011925,11.370855,-2.5569496,5.616878,2.4938238,10.155764,0.19754973,1.312528,-2.4906356,5.436225,7.1550603,5.468969,-0.23404697,1.2229011,-8.407558,-9.643619,-7.102719,6.1481256,92,0.6707871,0.22191249,0.2863046,0.12607253,0.25890118,0.29091296,0.100795925,0.13443758,0.09185756,0.2986641,0.16968197,0.1403428,0
The Things I Love In You - 2011 Remastered,-17.129326,90.29689,-7.8126574,33.967396,11.36571,15.165212,2.9715059,11.118595,2.7847774,3.8542786,-3.2613,4.1736307,-5.603622,1.234014,-3.405322,-0.6213289,-8.360238,-1.8029583,-0.96145886,2.3899086,129,0.26050436,0.2942407,0.48874998,0.3135925,0.36816314,0.3228001,0.18433318,0.24469106,0.2951213,0.510507,0.45450127,0.2879143,0
The Things We Do For Love,-116.15629,78.188034,-1.4145063,23.88012,2.0371327,10.948233,-11.78408,5.326007,-14.26959,4.266167,-1.031573,-1.8287195,-3.3498883,-3.9276361,-7.1018133,-0.8417006,-4.8208313,-3.524664,-4.8761992,-0.10204823,103,0.19747369,0.24066599,0.34198642,0.25275195,0.4423032,0.32097113,0.37796584,0.32621425,0.24133247,0.47103348,0.2770688,0.2521581,0
The Tide Is High - Radio Mix,-53.004425,64.506165,8.82729,37.095383,14.589245,11.527429,15.219512,4.977635,4.315719,9.716543,-7.4933705,3.959193,-1.521607,0.88578224,-0.09852085,-1.5306699,-3.9027843,0.3893217,-2.59761,3.28773,103,0.66118175,0.39272636,0.38864964,0.29247332,0.37919936,0.39172512,0.4181077,0.5633156,0.38728836,0.40091336,0.3338472,0.48961827,0
The Time (Dirty Bit),-202.7246,57.717396,-6.996257,10.15702,-4.091672,4.2832546,-8.93938,-0.98637414,-9.743905,-3.4778173,-6.6802855,-1.136957,-5.3129883,-2.215406,-7.9787407,-2.499129,-7.329812,-3.5294144,-6.1064825,-0.012566534,129,0.28020406,0.28350076,0.349516,0.37881964,0.6465588,0.34377816,0.3867,0.26694483,0.36725384,0.28363353,0.2409573,0.47896993,0
The Times They Are A-Changin',-137.39731,90.398766,-19.40347,27.998276,-2.450745,0.22760963,-11.26738,-3.1857767,-11.095879,-8.83258,-6.017227,2.1878037,-13.572082,-1.5070975,0.46836612,-3.0202122,-11.748668,3.9677594,-11.1697235,-7.8132243,161,0.13383813,0.23411398,0.50483596,0.15820964,0.203825,0.13755642,0.277937,0.46656224,0.22899216,0.32983053,0.14660287,0.1769934,0
The Trouble With Us,-248.54175,101.03459,-46.065685,10.188785,-17.805828,-11.094076,-9.8835945,-11.368939,-12.025126,-10.765406,-11.722372,-13.666138,-11.804974,-14.927925,-10.049,-2.7814007,-11.682315,-8.0738325,-3.6016672,-5.081088,123,0.18395919,0.1794598,0.31729895,0.19736643,0.29456675,0.19427909,0.2603191,0.36907145,0.2703309,0.31580818,0.2333035,0.30980915,0
The Twist,-45.98297,67.3316,14.905258,30.95143,7.3213186,14.643322,-5.9900365,9.8696,-3.4193966,-1.1851962,3.6901915,5.3584757,-2.6949713,3.4547977,-0.2210027,3.165692,-2.9644225,7.3763833,-0.66445297,-0.38686812,78,0.30766597,0.31767303,0.3175083,0.5385242,0.5949752,0.27416444,0.26195607,0.2719655,0.40725335,0.29079887,0.31767848,0.5465583,0
The Two of Us,-182.71405,131.96246,-1.7738179,25.621305,6.593534,3.3190048,3.2556076,6.4484267,-15.677866,5.878616,-9.364433,-0.5110989,-0.46324956,-6.5854673,-1.2663006,-2.8866136,-4.5949764,-1.7108644,-3.885963,0.6599271,95,0.42640328,0.19856584,0.3125373,0.20773304,0.4177086,0.39932936,0.24494377,0.48147357,0.2665131,0.2475717,0.15733129,0.31418183,0
The Unforgiven III,-265.25156,175.85301,-24.744932,28.715473,6.641165,-5.429035,-9.376507,-11.348056,-19.279436,-10.546477,-9.789492,-10.844636,-10.367907,-6.9746504,-3.9229445,-1.5497981,-1.7595066,0.7219925,-3.360405,-4.2975025,184,0.11189119,0.06901632,0.18056883,0.08069238,0.15695946,0.06689076,0.25402048,0.50183743,0.12819405,0.17877994,0.13590471,0.5340471,0
The Unguarded Moment - 2002 Remastered,-77.078545,96.979996,-54.84596,52.79827,-5.839069,0.079730146,-0.067340486,-3.8638167,0.9898257,5.085609,-3.522814,-3.1967857,-4.735981,-1.8416955,2.774576,2.1523688,-9.652483,-2.5077376,-3.1117806,0.3696014,135,0.626554,0.34815818,0.5020755,0.2790929,0.47231176,0.30524608,0.31764036,0.56716067,0.318071,0.31758964,0.25620207,0.4048582,0
The Unicorn,-148.60585,106.943985,-9.953207,38.97408,2.7927608,6.6892853,1.5427654,2.8468652,-11.242488,-4.041779,-6.1298904,-5.953425,-6.6306863,-3.5421638,-5.2886877,-3.3935387,-6.8644905,-2.597234,-10.150688,-4.2143445,117,0.40784973,0.22527635,0.21204643,0.14355984,0.30323634,0.3611694,0.24434836,0.3361062,0.2589616,0.38683882,0.26805928,0.22314486,0
The Very Thought of You,-184.89629,120.13854,11.865732,22.954397,1.9030316,5.299656,-6.9978323,-5.1909504,-13.582598,-2.246534,-9.089917,-2.9718158,-4.3546205,-10.699322,-4.8710713,-3.322902,-7.2298303,-0.83624476,-2.6429431,-4.7262554,99,0.34475338,0.19749898,0.3276321,0.17042272,0.32257745,0.48353583,0.22706254,0.26176557,0.21002223,0.43193603,0.22956501,0.16787364,0
The Village Of St Bernadette,-185.41394,125.277916,-21.602615,7.084748,-24.349842,-6.881517,-3.4776127,7.545934,-6.3480763,-2.9265244,-0.36005715,0.17665559,-2.4752645,3.7488172,-5.6000667,-0.9054678,-2.3180363,-1.094021,-3.3712327,1.6772906,143,0.42100668,0.32921943,0.21038705,0.3187101,0.20931971,0.24012724,0.15240823,0.2559557,0.43397507,0.18305847,0.31332663,0.20877188,0
The Waiting,-41.885822,89.97632,-25.724585,21.283674,-1.7360957,-5.9669423,-11.071377,5.674309,0.840955,4.2013297,-2.1500852,4.2249804,-1.2705821,-2.9924886,-6.5755553,-2.367063,-7.51612,-1.9111557,0.39163378,-1.6190628,117,0.24338005,0.33922747,0.46153963,0.23311119,0.48138314,0.24147454,0.3481978,0.28172642,0.2985749,0.6194509,0.21713807,0.26822057,0
The Wanderer,-135.54405,72.349785,-28.237211,37.731594,-8.103161,13.757849,-4.571466,3.7485547,-15.378214,-1.5191272,-4.8471313,-2.2233098,-4.2200522,-5.621078,-5.180605,-2.3288374,-7.8581815,3.2399797,-7.255117,-3.325583,117,0.2999285,0.3866122,0.5871959,0.3774956,0.40816092,0.38157362,0.53183943,0.3651314,0.3464645,0.57358974,0.36606,0.36308897,0
The War Song - Remastered 2003,-72.108315,84.19081,10.335915,31.762022,5.2837467,12.856445,0.73727244,8.100128,-4.4041977,7.0737824,-3.2476969,2.7102146,-1.9562966,2.9918098,-0.88321763,-3.2283251,-5.833261,-4.4765325,-6.013624,-6.3143654,117,0.47185448,0.4022709,0.53117085,0.32298797,0.30994284,0.21879764,0.2698721,0.4083637,0.29514125,0.37178007,0.2457711,0.36362582,0
The Warrior (feat. Patty Smyth),-96.7569,64.89775,-2.4690201,28.226765,2.0078185,4.8222446,6.085429,8.528426,1.3769752,8.936768,-3.0872638,3.3270924,-5.330079,0.97306705,-0.63883287,0.6311872,-4.4234495,-0.49396735,-1.95219,-2.245707,123,0.21442033,0.2499482,0.33757338,0.34824297,0.5093869,0.3121797,0.30264497,0.24791491,0.29302484,0.594963,0.36241752,0.3528603,0
The Way,-121.77796,87.684044,-34.11622,29.36555,-22.666119,4.046848,-15.903659,-7.607313,-13.2029085,-1.9800377,-15.794993,-6.8760233,-13.972571,-3.9918807,-6.695151,-1.4940311,-8.523235,0.4777782,-9.029179,-4.6357617,123,0.31836662,0.53099865,0.2779869,0.18549782,0.1809831,0.26445827,0.4948815,0.37984496,0.5323198,0.4772689,0.30506116,0.34342113,0
The Way I Am,-147.63956,101.54465,1.8009169,27.625025,9.8932295,5.09487,7.4685216,0.796298,5.3807526,4.170007,-0.38495857,-0.32486263,-6.547003,-2.2001076,-5.233845,-2.5962806,-1.3649021,0.30749542,-2.9421754,-1.8702723,117,0.2817474,0.28598732,0.22111547,0.2877107,0.19941662,0.2895286,0.24041285,0.302295,0.54033345,0.4508056,0.5736074,0.30909103,0
The Way I Want To Touch You,-139.21738,56.05147,11.955969,23.119688,-6.0032067,-0.8185283,-12.517256,-7.1961274,-14.084583,-12.7571535,-7.9995313,-3.0965881,-9.3790455,-12.963901,-4.3863735,0.87837553,-10.72695,-0.20534097,-1.3412688,-4.6840887,151,0.36530185,0.22625905,0.2787886,0.39459905,0.33294326,0.44437954,0.2364455,0.4853325,0.4650836,0.29054686,0.30328524,0.21656294,0
The Way We Were,-345.85324,150.97601,1.3279909,9.467563,5.4340224,-7.433042,-5.1088843,-10.981107,-9.110582,-9.120312,-18.634726,-10.098521,-4.5790834,-3.0491605,2.3529181,0.98514086,7.240946,13.452068,6.1448073,3.1766331,129,0.14701599,0.38420504,0.18313606,0.07159392,0.24413805,0.19280055,0.23425308,0.096955925,0.14075013,0.24699607,0.06201614,0.07316127,0
The Way You Look Tonight,-252.11044,83.39736,20.097345,31.89712,-3.650801,9.18615,-1.6940566,-4.809815,-2.326881,-0.61092055,-2.34657,4.560382,-4.198397,-1.7125486,-1.755331,-1.7362283,-4.0031896,-0.88749915,-0.668321,-0.7640668,129,0.3348108,0.2439884,0.34888008,0.36504507,0.28599215,0.42586988,0.24447648,0.36003545,0.33493948,0.27197027,0.40211916,0.2705055,0
The Way You Look Tonight - Remastered,-239.89922,116.17388,3.8234909,21.437769,2.658637,-0.72909254,-10.958851,-4.2280416,-20.6535,-7.887548,-12.632266,-8.019687,-12.488098,-4.235954,-10.006102,-8.258422,-6.2061234,0.39476442,-1.6938078,5.574918,103,0.21514432,0.22305824,0.12011882,0.3687112,0.617331,0.17577766,0.27775764,0.33264992,0.32480857,0.15417762,0.14386846,0.3629747,0
The Way You Make Me Feel - 2012 Remaster,-75.036835,89.67719,30.870432,25.822435,4.2597466,10.592486,0.60170394,8.447909,1.5437738,5.7993464,3.547792,7.4368863,3.9397755,4.0744314,0.6648435,3.7024086,1.4148895,4.140347,1.6816016,3.0412998,112,0.44254074,0.43657333,0.44891044,0.53784966,0.61769295,0.81007993,0.6657887,0.55047625,0.4226134,0.45079517,0.38287845,0.34872958,0
The Way You Move (feat. Sleepy Brown),-163.7605,63.778275,10.660247,23.949354,-0.9680712,23.400515,3.9560184,14.815303,6.2412934,10.247935,7.599927,14.254061,9.656649,11.73775,9.862397,12.346884,2.75917,5.718942,3.8668756,0.88725156,123,0.6288782,0.6427925,0.56469065,0.4523304,0.41324472,0.38642377,0.39935592,0.43671218,0.420671,0.4597741,0.516015,0.59796315,0
The Weekend - Radio Edit,-60.613655,71.6379,0.205402,5.958402,15.469352,17.52847,8.644215,14.558736,1.0138662,8.508635,2.1978996,4.8789425,0.78012556,3.2211325,-0.0069346237,3.255869,-2.570386,0.5251218,-3.0518398,1.6202112,129,0.45141938,0.48960635,0.43002877,0.3292359,0.43709582,0.321514,0.4113445,0.39617696,0.38551074,0.41653565,0.38017538,0.6092674,0
The Weight (with Jimmy Barnes),-105.71579,76.28588,8.493064,30.763376,13.913732,9.636561,2.6803348,5.7851973,3.469001,2.1464891,-3.9202356,-1.5504831,-2.3233848,-1.8369935,-1.5786092,3.3974733,-7.2010026,-0.66652197,-4.863399,-1.8766661,143,0.24405493,0.35199782,0.31175438,0.24261495,0.3954819,0.22688803,0.23735406,0.26850814,0.36383295,0.6505369,0.34284246,0.3110539,0
The Weight - Remastered 2000,-193.49628,110.702644,-8.954895,44.42856,8.231167,17.382755,-0.07089847,9.530682,-2.4686832,4.412067,0.5939689,1.9785905,3.1377702,0.96959156,-3.9364455,2.7280564,-6.1172523,-0.9070002,-4.388596,-4.0761614,143,0.24318655,0.3488636,0.3042439,0.21804523,0.34941152,0.23536351,0.21966259,0.23672113,0.36628312,0.60946125,0.33329687,0.28744626,0
The Whole of the Moon,-48.64906,78.44505,-20.217266,26.111116,-10.8128605,6.135227,-8.903062,-5.3524485,-13.623504,-5.0712533,-7.7627616,2.42503,-4.93524,-4.456941,-8.372042,-2.32808,-8.533693,-0.5511084,-5.665834,-4.7289367,107,0.5834331,0.3496567,0.5454877,0.31384608,0.29599723,0.26946598,0.32410988,0.5821459,0.29694474,0.32022214,0.2772352,0.42770177,0
The Wild Boys,-151.0396,83.99739,-7.3374286,26.398767,1.9320507,11.241209,2.6000617,14.678481,-1.5902594,7.1865063,4.0720253,6.953184,1.9934918,8.870892,0.2943515,5.009962,-3.1286561,-1.3946377,-4.116864,0.534748,117,0.51904494,0.33199388,0.36409092,0.35092738,0.42326462,0.30490515,0.40425757,0.33999103,0.29966617,0.35096785,0.44530782,0.704211,0
The Wild One - Single Version,-6.6103697,51.806393,-11.2428055,25.350296,6.5611486,19.808578,12.952595,8.197522,9.075547,6.2945957,-9.076182,2.9725218,-8.125354,1.6900011,-7.6436453,-2.9972486,-1.861727,-4.070165,-9.43765,-3.7390885,151,0.34557545,0.4448684,0.34075364,0.31091422,0.46228543,0.28045854,0.25408286,0.23713107,0.3885188,0.6472279,0.40819183,0.32441273,0
The Winner Takes It All,-194.79704,119.74545,-39.769676,26.521618,-13.073648,10.184586,-3.755311,-2.6690376,-8.114743,-2.2662237,-11.787268,-6.929645,-6.729198,-1.6884546,-6.19224,-0.9559428,-4.5979204,-3.030435,-3.4645002,3.396275,83,0.2322152,0.4051746,0.20766021,0.34251013,0.1342912,0.3029865,0.37030116,0.24624093,0.48216143,0.21439451,0.34577772,0.27742898,0
The Wire,-111.93029,93.91325,7.9144874,36.243706,20.195692,21.037813,8.116515,13.978259,9.679362,10.171902,1.5014992,4.6769376,-0.94509417,7.987542,-2.529317,2.1211398,-3.8780575,-1.5330559,-3.11344,0.08459872,112,0.3599755,0.40573493,0.5925555,0.39226523,0.37050235,0.35221595,0.35241976,0.33376488,0.3952962,0.5778134,0.43966335,0.39551023,0
The Witch Queen of New Orleans,-113.46732,117.50455,-7.8795033,32.51762,10.535472,10.685086,4.7107344,10.279548,3.7880225,4.9611483,-3.17474,6.187395,3.4674065,1.5010744,0.5374553,2.7016542,-4.9105434,2.0112505,-3.801116,-1.7391199,123,0.4074909,0.4540332,0.5994013,0.30271316,0.25867298,0.37177357,0.46546945,0.5893493,0.3019466,0.2439987,0.30020404,0.3170358,0
The World I Know,-107.67037,81.5199,6.8488626,23.572386,6.9290905,8.015547,0.68868536,-0.23122422,-7.094013,-6.676943,-12.218293,1.1483507,0.92728066,-0.047606006,-9.199935,-4.7142024,-7.6510277,-0.59845537,-8.519341,-8.5304575,103,0.2247126,0.2634003,0.5637625,0.23417781,0.20150349,0.21163858,0.32801694,0.25363737,0.20846125,0.3735513,0.31876642,0.6301048,0
The World I Used To Know,-301.2896,137.80493,8.117292,32.65627,3.3642292,2.7560909,5.763594,2.4082801,-3.8863144,-2.3121467,-5.600563,0.6645716,-0.6578997,1.9164423,-3.213251,-2.6212306,-4.06494,-2.3198152,-3.08816,-0.7862058,151,0.14948809,0.18599468,0.19266883,0.1578765,0.22672172,0.17256321,0.25114435,0.25655505,0.30090237,0.4681938,0.2750018,0.26493502,0
The Worlds Greatest Mum,-165.58934,87.30858,2.3986065,49.931076,1.7553782,13.412055,-5.224341,2.2718976,-5.6330657,-0.5043298,-6.342186,3.1364942,-3.3446763,0.5473819,-2.2594635,-0.9232311,-4.591871,0.19066891,-1.5764912,-4.5216126,129,0.24112985,0.38956457,0.3138826,0.27864745,0.52779776,0.19427209,0.18662292,0.14946221,0.2802829,0.42985058,0.2183156,0.30468243,0
The Zephyr Song,-150.10864,81.46459,14.100176,28.830853,22.94015,9.589552,4.6185956,11.07902,0.011654881,-0.62903243,2.9563339,2.5896552,-1.471363,-3.9609828,-5.405678,0.3998727,-4.25904,-4.567901,-3.5732596,1.2609425,117,0.32950032,0.18307416,0.19515033,0.27068406,0.41773728,0.32388273,0.27803603,0.36929452,0.30246347,0.38409278,0.2541277,0.36543295,0
Theme From Shaft - Remastered 2009,-228.10802,3.9331505,35.25568,1.2748361,0.56385386,-3.4702919,-5.572218,-3.4850125,2.4868212,-4.6800222,-9.285407,-1.2420075,-2.9461713,-4.4431715,-5.37364,3.691576,-0.4826028,1.3753097,-3.3380759,-2.7333944,117,0.4809613,0.5124514,0.6092813,0.57602507,0.5205435,0.37161204,0.2948596,0.53841835,0.46868518,0.43479934,0.34967843,0.5165578,0
Then He Kissed Me,-120.12366,106.11621,7.126653,24.97496,-6.2094197,6.2230697,-10.919205,6.959284,-6.9415803,0.14616767,-8.633963,-2.8687422,-0.25704682,1.0169774,-1.119749,-1.4764702,-2.4795346,5.925292,-5.123727,-2.6387706,135,0.2854819,0.3234786,0.18088478,0.21034746,0.4999133,0.22305791,0.19208573,0.20904392,0.6035872,0.4659013,0.2570951,0.49015528,0
Then The Morning Comes,-36.506927,73.498474,-1.6341972,26.905191,3.4221241,7.8972855,-2.9948697,9.078313,-3.0635152,4.569907,-2.2634428,1.7913934,-1.7256608,2.0116405,-3.475896,4.0552287,-5.1982718,1.5155246,-1.7069182,-4.5793076,117,0.61581403,0.42825657,0.31326875,0.31227058,0.28730246,0.3670238,0.33609748,0.38207147,0.31837034,0.4438128,0.46592817,0.4065294,0
Therapy,-141.00887,128.57481,-33.411945,7.0049267,15.261393,-14.922903,-4.8601665,-6.0410624,-14.810648,-2.1761105,-11.8029585,-8.203834,-7.3655033,-11.451632,-7.4395785,-5.1015515,-11.232292,-0.6630814,-5.681,-3.1643622,103,0.4521074,0.24289143,0.29981512,0.45453066,0.30283806,0.45721897,0.25852555,0.34891307,0.22722429,0.22338602,0.2042469,0.22529498,0
There Must Be an Angel (Playing With My Heart),-113.742,60.124195,-14.369138,20.636806,-1.5112944,3.3518207,-4.6126895,5.91846,-7.9005027,5.976763,-7.8499074,1.6179267,-2.4733253,7.517836,-0.736657,-3.3854282,-7.270968,-2.224123,-6.4580827,3.5149677,112,0.41063687,0.22490834,0.30001175,0.24136521,0.28283498,0.2266813,0.19927442,0.26541197,0.22490571,0.3048561,0.15675932,0.32866818,0
There She Goes,-135.9064,74.684235,-4.9618263,25.317768,10.412712,-9.083998,-3.649628,-8.003947,-8.535536,-6.731285,-19.763084,-12.153431,-13.429766,1.5932575,-13.146548,-9.074899,-16.890305,-7.282083,-8.5794325,-4.494395,117,0.23723437,0.12065599,0.2584294,0.31376967,0.21162148,0.5628283,0.18413328,0.12830836,0.10198666,0.2181769,0.4850228,0.1756244,0
There You Go,-126.346504,51.233784,23.293995,9.987587,-1.8404312,-4.223683,-3.1182,6.9467125,0.7701567,-4.002989,-14.634745,-4.5469623,-5.241659,-0.82760006,-3.6122189,-1.2391365,-7.7256,-6.428608,-9.806163,0.31924674,107,0.4658599,0.30279645,0.20912606,0.26563448,0.24159431,0.401367,0.35372642,0.31221676,0.2737218,0.4282958,0.6787776,0.40901566,0
There You'll Be,-182.1975,125.393166,6.81736,27.595352,10.619692,1.0151414,0.40972278,-1.7743933,-1.7570971,7.4872713,-4.862849,3.8814456,-5.16699,-1.0893679,-3.0230217,-0.08520092,-2.2276292,2.7292802,-4.043356,3.2142992,135,0.41318586,0.21199435,0.16683401,0.37276572,0.14306267,0.15867311,0.121042505,0.34950125,0.42249647,0.2267487,0.42687398,0.22477259,0
There for You,-173.36836,124.010376,8.409288,24.310009,3.211196,1.4164081,-2.0498893,0.5808459,-9.872006,-3.1991484,-1.0171311,7.9848957,-2.9619532,-3.3428702,0.67167675,1.0147316,1.7670486,3.9899316,-4.5275617,-2.4221892,107,0.13578965,0.20280933,0.1862926,0.1561111,0.26845056,0.1542121,0.24386387,0.117907755,0.26474804,0.66057163,0.22540808,0.30943555,0
There's A Kind Of Hush,-93.70402,96.588394,-17.906214,42.94921,-6.791318,10.503698,1.0848941,6.3512216,-5.7119966,5.9063272,-2.3220513,1.0112325,0.002657344,0.6112252,-5.2407804,0.97893435,-5.242056,-1.0113004,-3.0551667,2.098834,129,0.39107907,0.2714888,0.31879663,0.22921708,0.38916862,0.27604058,0.21483916,0.4045728,0.32571742,0.31398085,0.2399897,0.31579375,0
There's Always Me - alt. take 2,-309.15146,138.12958,10.082772,8.615541,5.8950567,7.8692193,-1.6389028,0.14878227,-5.0352464,1.9596306,-1.2707127,-0.39561188,-3.5404558,5.3379297,7.206091,3.642052,-2.1920853,2.4119883,1.0547388,4.862738,143,0.35886663,0.26901895,0.3433488,0.18443865,0.19679911,0.37734696,0.26739103,0.4375179,0.31261244,0.42096037,0.30878407,0.4217463,0
There's Nothing Holdin' Me Back,-155.2568,90.92425,11.367588,26.385044,6.995879,4.103679,-3.6496542,1.6442083,-6.489653,-5.830292,-6.0024514,-2.6237488,-9.840803,-9.441649,-7.2879825,-8.403762,-6.9937534,-8.09522,-5.517821,-1.7033803,123,0.19684447,0.27617025,0.3255814,0.23111127,0.34610173,0.2678755,0.32083637,0.23167193,0.26834446,0.36168414,0.2495342,0.29152822,0
There's Nothing I Won't Do - Original Edit,-70.475494,29.13862,1.2329011,29.523558,5.205305,13.740615,0.38869038,6.9365196,-4.196609,4.266484,-4.2200403,-1.0969179,-5.918291,-0.7566859,-4.5048857,0.5405141,-7.048159,0.72055537,-6.7346926,-0.84537846,135,0.29832816,0.4998115,0.42888623,0.33466446,0.45958987,0.36622494,0.40755844,0.37539512,0.5686683,0.7513395,0.39689028,0.33849064,0
There's a Moon Out Tonight,-125.30977,102.259445,-8.292057,17.04204,-17.057228,-0.9952778,-12.674785,-3.4543588,-8.589741,-6.9881663,-10.782148,-0.47602004,-7.9600396,0.3900681,-4.106891,-1.0474591,-6.488338,2.4812407,-4.4940577,-4.247552,99,0.21233562,0.3651314,0.26138282,0.36617956,0.25695726,0.32628244,0.34988075,0.20812646,0.22715804,0.23301777,0.50946295,0.29225397,0
Therefore I Am,-150.40158,96.71015,19.412245,19.962065,7.6418614,5.834164,8.594805,0.05481826,9.532048,1.3519673,-1.1506882,-0.7716585,-3.6947856,1.9692909,-3.3044755,1.704544,-2.4262612,-0.6481117,-4.148238,-2.5758197,95,0.3043604,0.38665304,0.42942953,0.33045772,0.39410952,0.41038677,0.34083775,0.382269,0.38027897,0.46896863,0.37689328,0.3057764,0
These Boots Are Made for Walkin',-141.28635,60.965702,9.217779,33.146404,5.3741894,16.578072,2.0746572,10.1874275,2.4529102,13.279499,-2.8589048,2.7342257,-3.4051216,0.6359704,-1.1439074,-1.1132438,-2.9736671,1.3209686,-2.8716862,2.424319,92,0.40455893,0.52012235,0.35663164,0.268365,0.30955374,0.38060597,0.51639485,0.490034,0.4345989,0.43770894,0.45380074,0.38727412,0
These Days,-459.30902,157.1977,-6.742863,36.77439,20.524921,-4.7638783,-2.1616814,-7.7761707,-10.905322,-16.091925,-17.132713,-16.868055,-16.228167,-6.49145,-6.7692018,0.5552853,2.5206435,0.60127074,2.6034346,5.863087,99,0.018860515,0.0474386,0.18238899,0.123051696,0.4917793,0.1199325,0.14536339,0.0362421,0.18432318,0.95000124,0.19570024,0.032100834,0
These Words,-144.60417,50.988712,10.64249,14.891387,7.915548,5.7289467,10.291093,4.9644704,2.2547514,6.608489,-1.1726308,0.15531151,-0.9654367,1.9695815,-3.5211537,3.9453707,3.7970772,8.965935,3.284356,7.0063167,95,0.38080388,0.36071885,0.3437038,0.35459822,0.4131778,0.5033001,0.40972957,0.44705012,0.43323398,0.4899601,0.40565872,0.3350025,0
They Don't Care About Us,-233.47018,68.434265,-33.897526,18.731506,-4.274597,1.3830022,5.5337605,5.5032988,4.978668,9.42969,-1.8891366,6.539064,0.7018495,4.7744412,1.9814899,1.3581972,2.8529043,3.0627744,0.93178076,3.210924,184,0.47827286,0.46545112,0.48072708,0.42073157,0.4112284,0.43176568,0.4824239,0.51915896,0.4922928,0.4807955,0.5572395,0.5453103,0
They Don't Know Us,-87.05704,94.42163,-11.25757,0.34560335,-2.554809,-4.354679,-7.5608025,1.7328653,-11.342043,1.7290049,-4.758239,-5.02655,-11.235426,-2.9185212,-6.366773,-2.3826692,-6.640811,-1.8997754,-4.2005453,-2.0595376,112,0.21434146,0.20375234,0.29960322,0.31003705,0.50554925,0.3329723,0.3779747,0.45025915,0.32619736,0.41941154,0.34211802,0.3246373,0
"They're Coming to Take Me Away, Ha-Haaa!",-206.44902,90.48326,-19.119652,26.17298,8.977105,10.773994,-5.3353615,5.005318,4.1990585,-2.0504985,2.8118463,2.3869436,1.88342,0.5269569,2.264583,-1.8822503,0.9197853,-1.3284683,-0.5642326,0.7291471,107,0.42000175,0.4354811,0.4360903,0.46086347,0.47472498,0.48755804,0.4805075,0.5124678,0.51162696,0.46602392,0.4269238,0.43551216,0
